ville;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Rouen;Nicolas Mayer-Rossignol;mayer-rossignol;Fiers de Rouen (PS/EELV/PCF/PP);OUI;26;;cabinetdumaire@rouen.fr;institutionnel;@NicolasMayerNMR;recherche web;EMAIL OK
Rouen;Marine Caron;caron;Horizons / LR;NON;6;;;;@Marine_Caron76;recherche web;TWITTER OK
Rouen;Maxime Da Silva;da-silva;Faire mieux à Rouen (LFI);NON;6;;;;@Maxime_DaSilva_;recherche web;TWITTER OK
Rouen;Grégoire Houdan;houdan;RN/UDR;NON;2;;;;@gregoirehoudan;recherche web;TWITTER OK
Rouen;Frédéric Mazier;mazier;Reconquête;NON;2;;;;;;A RECHERCHER
Rouen;Éric Moisan;moisan;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Rouen;Céline Vitard;vitard;Parti des travailleurs (POID);NON;0;;;;;;A RECHERCHER
Rouen;Amaury Renauld;renauld;NPA-Révolutionnaires;NON;2;;;;;;A RECHERCHER
Rueil-Malmaison;Pierre Cazeneuve;cazeneuve;Renaissance;NON;0;;;;;;A RECHERCHER
Rueil-Malmaison;Patrick Indjian;indjian;Union citoyenne écologiste et solidaire (PS/EELV/PCF);OUI;43;https://www.patrickindjianrueil2026.fr/;patrick.indjian@mairie-rueilmalmaison.fr;mairie;;recherche web;EMAIL OK
Saint-Denis;Mathieu Hanotin;hanotin;PS-Écologistes-Parti animaliste-Génération.s-GRS-Place publique;NON;0;;mairie.saint.denis@ville-saint-denis.fr;mairie;@MathieuHanotin;recherche web;EMAIL OK
Saint-Denis;Bally Bagayoko;bagayoko;LFI-PCF, Seine-Saint-Denis au cœur;NON;0;;;;@BallyBagayoko;recherche web;TWITTER OK
Saint-Denis;Quentin Gutierrez;gutierrez;Horizons / Droite-Centre unis;NON;0;;;;;;A RECHERCHER
Saint-Denis;Elsa Marcel;marcel;Révolution Permanente;NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Éricka Bareigts;bareigts;PS (Parti Socialiste);NON;8;;;;;;A RECHERCHER
Saint-Denis (La Réunion);René-Paul Victoria;victoria;LR (Les Républicains);NON;4;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Jean-Max Nativel;nativel;RN (Rassemblement National);NON;7;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Gaëlle Lebon;lebon;Rassemblement Réunion (ex-RN/Reconquête);NON;2;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Giovanni Payet;payet;Divers, collectif La Voix Citoyenne;NON;2;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Farid Mangrolia;mangrolia;Divers centre, Tous Dionysiens;NON;3;;;;;;A RECHERCHER
Saint-Denis (La Réunion);Ludovic Sautron;sautron;Écologiste / divers gauche;NON;3;;;;;;A RECHERCHER
Saint-Maur-des-Fossés;Pierre-Michel Delecroix;delecroix;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Saint-Maur-des-Fossés;Vincent Giacobbi;giacobbi;Horizons;NON;0;;;;;;A RECHERCHER
Saint-Maur-des-Fossés;Matthieu Fernandez;fernandez;Renaissance;NON;0;;;;;;A RECHERCHER
Saint-Nazaire;David Samzun;samzun;Divers gauche (sortant);NON;0;;;;;;A RECHERCHER
Saint-Nazaire;Violaine Lucas;lucas;Union de la gauche et de l'écologie (EELV/LFI/PCF);OUI;33;https://sn26.fr/programme/;sn26@mailo.com;campagne;;recherche web;EMAIL OK
Saint-Nazaire;Denis Chéreau;chereau;Horizons / Union droite et centre (LR/Renaissance/MoDem);NON;0;;;;;;A RECHERCHER
Saint-Nazaire;Julio Pichon;pichon;RN, Renouvelle-toi Saint-Nazaire !;NON;0;;;;;;A RECHERCHER
Saint-Paul (La Réunion);Emmanuel Séraphin;seraphin;PLR / Union des Forces Progressistes (PS/Écologistes/LFI);NON;0;;;;;;A RECHERCHER
Saint-Paul (La Réunion);Jean-Yves Morel;morel;RN (Rassemblement National);NON;0;https://issyecoloetsocial.fr/notre-programme/;;;;;A RECHERCHER
Saint-Paul (La Réunion);Jean-Jacques Charolais;charolais;Divers;NON;0;;;;;;A RECHERCHER
Saint-Paul (La Réunion);Alix Jean Méra;mera;Debout la France;NON;0;;;;;;A RECHERCHER
Saint-Paul (La Réunion);Hassam Moussa;moussa;Force Citoyenne;NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);David Lorion;lorion;Divers droite / sans étiquette;NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);Émeline K/Bidi;kbidi;Divers gauche (soutenue par LFI/NFP);NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);Ruth Dijoux;dijoux;Ekilibre, L'Union des Saint-Pierrois (PS/Écologistes);NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);Virginie Gobalou;gobalou;Convictions Réunion;NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);Bernard Von-Pine;von-pine;Divers;NON;0;;;;;;A RECHERCHER
Saint-Pierre (La Réunion);Richard Riani;riani;Divers / liste citoyenne;NON;0;;;;;;A RECHERCHER
Saint-Étienne;Dino Cinieri;cinieri;Saint-Étienne Ensemble 2026 (LR/UDI/Horizons/Renaissance/MoDem);NON;4;https://www.cinieri2026.com/;depute@dinocinieri.fr;institutionnel;@DinoCinieri;recherche web;EMAIL OK
Saint-Étienne;Régis Juanico;juanico;Rassembler Saint-Étienne (PS/EELV/PCF);NON;5;;;;;;A RECHERCHER
Saint-Étienne;Éric Le Jaouen;le-jaouen;Relevons Saint-Étienne (Horizons dissident);NON;1;https://www.lejaouen2026.fr/;;;@EricLeJaouen;recherche web;TWITTER OK
Saint-Étienne;Marc Chassaubéné;chassaubene;Majorité sortante (1er adjoint);NON;1;;;;;;A RECHERCHER
Saint-Étienne;Siham Labich;labich;Liste citoyenne (2e adjointe sortante);NON;1;;;;;;A RECHERCHER
Saint-Étienne;Valentine Mercier;mercier;La France Insoumise;NON;14;https://mercier2026.fr/;mercier2026@etik.com;campagne;;recherche web;EMAIL OK
Saint-Étienne;Corentin Jousserand;jousserand;Rassemblement National;NON;3;;;;;;A RECHERCHER
Saint-Étienne;Romain Brossard;brossard;Lutte Ouvrière;NON;1;;;;;;A RECHERCHER
Strasbourg;Jeanne Barseghian;barseghian;Strasbourg juste et vivante (EELV);NON;13;;;;@JeanneBarsegh;strasbourg.eu (à vérifier);TWITTER OK
Strasbourg;Catherine Trautmann;trautmann;PS;NON;7;;;;@CatTrautmann;à vérifier manuellement;TWITTER OK
Strasbourg;Jean-Philippe Vetter;vetter;Aimer Strasbourg (LR);NON;5;;contact@aimerstrasbourg.alsace;campagne;;aimerstrasbourg.alsace;EMAIL OK
Strasbourg;Virginie Joron;joron;Sauver Strasbourg (RN);NON;2;;virginie.joron@europarl.europa.eu;institutionnel;;virginiejoron.fr;EMAIL OK
Strasbourg;Florian Kobryn;kobryn;Strasbourg fière et solidaire (LFI);OUI;26;http://kobryn2026.eu/;kobryn2026@gmail.com;campagne;;kobryn2026.eu;EMAIL OK
Strasbourg;Pierre Jakubowicz;jakubowicz;Strasbourg on y croit ! (Horizons);NON;6;;contact@pierrejakubowicz.eu;campagne;;pierrejakubowicz.eu;EMAIL OK
Strasbourg;Linda Ibiem;ibiem;Strasbourg vivant (PS/Convergence);NON;6;;;;;;A RECHERCHER
Strasbourg;Thibaut Vinci;vinci;PRG;NON;5;;;;;;A RECHERCHER
Strasbourg;Ismaïl Becherirat;becherirat;Unis pour Strasbourg;NON;5;;;;;;A RECHERCHER
Strasbourg;Mohamed Sylla;sylla;Utiles Bas-Rhin;NON;5;;;;;utiles67.fr (à vérifier);A RECHERCHER
Strasbourg;Fahad Raja Muhammad;muhammad;Strasbourg sans frontières (MPI);NON;6;;;;;fahadrajamuhammad.fr (à vérifier);A RECHERCHER
Strasbourg;Louise Fève;feve;Lutte Ouvrière;NON;2;;;;;;A RECHERCHER
Strasbourg;Cem Yoldas;yoldas;Strasbourg c'est nous (NPA);NON;7;;;;;;A RECHERCHER
Strasbourg;Clément Soubise;soubise;NPA-Révolutionnaires;NON;5;;;;;;A RECHERCHER
Toulon;Josée Massi;massi;Toulon mon parti (sortante);OUI;17;https://joseemassi.com/;;;;;SITE A VERIFIER
Toulon;Laure Lavalette;lavalette;Un avenir pour Toulon (soutenue par le RN);NON;8;https://www.unavenirpourtoulon.fr/;unavenirpourtoulon@gmail.com;campagne;;unavenirpourtoulon.fr;EMAIL OK
Toulon;Michel Bonnus;bonnus;Toulon en Grand (LR);OUI;37;https://toulonengrand.fr/;presse@toulonengrand.fr;presse;;toulonengrand.fr;EMAIL OK
Toulon;Magali Brunel;brunel;Toulon en Commun (PS-PCF-Écologistes);NON;12;https://toulonencommun2026.fr/;;;;;SITE A VERIFIER
Toulon;Isaline Cornil;cornil;La France Insoumise;NON;3;;;;;;A RECHERCHER
Toulon;Emmanuel Le Lostec;le-lostec;En Avant Toulon-Isso Touloun;NON;2;;;;;;A RECHERCHER
Toulouse;Jean-Luc Moudenc;moudenc;Protégeons l'avenir (DVD);OUI;20;https://moudenc2026.fr/;;;@jlmoudenc;moudenc2026.fr (formulaire uniquement);SITE A VERIFIER
Toulouse;François Briançon;briancon;La gauche unie pour Toulouse (PS/EELV/PCF);OUI;19;;;;;vivremieuxtoulouse.fr (à vérifier);A RECHERCHER
Toulouse;François Piquemal;piquemal;Demain Toulouse (LFI);OUI;22;https://piquemal2026.fr/le-programme/;contact@demaintoulouse.fr;campagne;@FraPiquemal;piquemal2026.fr;EMAIL OK
Toulouse;Julien Leonardelli;leonardelli;Le bon sens toulousain (RN);NON;4;https://www.lebonsenstoulousain.fr/;;;;;SITE A VERIFIER
Toulouse;Arthur Cottrel;cottrel;J'aime Toulouse (Reconquête);NON;1;https://reconquete-toulouse.fr/;contact@reconquete-toulouse.fr;campagne;;reconquete-toulouse.fr;EMAIL OK
Toulouse;Malena Adrada;adrada;Le camp des travailleurs (LO);NON;0;;midi-pyrenees@lutte-ouvriere.org;parti;;lutte-ouvriere.org;EMAIL OK
Toulouse;Lambert Meilhac & Domitille Allorant;meilhac;Nouvel Air (Équinoxe);OUI;24;https://www.toulouse-nouvel-air.fr/;;;;;SITE A VERIFIER
Tourcoing;Doriane Becue;becue;Horizons (majorité présidentielle);NON;0;;dbecue@ville-tourcoing.fr;institutionnel;@DorianeBecue;recherche web;EMAIL OK
Tourcoing;Katy Vuylsteker;vuylsteker;Les Écologistes-PS-PCF;NON;0;;;;@katyvuylsteker;recherche web;TWITTER OK
Tourcoing;Franck Talpaert;talpaert;Citoyen-ne-s pour Tourcoing (sans étiquette);NON;0;;;;;;A RECHERCHER
Tourcoing;Émilie Croes;croes;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Tourcoing;Bastien Verbrugghe;verbrugghe;RN (Rassemblement National);NON;0;;;;@BVerbrugghe;recherche web;TWITTER OK
Tours;Emmanuel Denis;denis;Tours Inspire 2026 (EELV/PS/PCF);NON;12;;;;@EmmanuelDenis37;recherche web;TWITTER OK
Tours;Marie Quinton;quinton;Faire mieux pour Tours (LFI);NON;5;;;;@MarieQuinton8;recherche web;TWITTER OK
Tours;Christophe Bouchet;bouchet;Tours pour tous (Centre-droit/LR);OUI;34;https://tourspourtous.fr/;contact@tourspourtous.fr;campagne;@ch_bouchet;tourspourtous.fr/#propositions;PROGRAMME INTEGRE
Tours;Henri Alfandari;alfandari;Naturellement Tours (Horizons);OUI;39;https://www.naturellement-tours.fr/;;;@Henri_Alfandari;recherche web;TWITTER OK
Tours;Benoist Pierre;pierre;Je m'engage pour Tours (Divers centre);NON;10;;;;;;A RECHERCHER
Tours;Aleksandar Nikolic;nikolic;Rassemblement National;NON;3;;;;@Al_Nikolic;recherche web;TWITTER OK
Tours;Bertrand Rouzier;rouzier;Tours, vivante ! (PRG);NON;1;;;;;;A RECHERCHER
Tours;Thomas Jouhannaud;jouhannaud;Lutte Ouvrière;NON;2;;;;;;A RECHERCHER
Troyes;François Baroin;baroin;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Troyes;Loëtitia Beury;beury;Sans étiquette, Il est temps;NON;5;https://municipalestroyes.fr/;;;@L_Beury;recherche web;TWITTER OK
Troyes;Sarah Fraincart;fraincart;LFI (La France Insoumise);NON;0;;;;@FraincartSarah;recherche web;TWITTER OK
Troyes;Pierre Brochet;brochet;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Troyes;Pierre Philippe;philippe;Sans étiquette;NON;0;https://ep2026.fr/;;;@EPhilippe_LH;;TWITTER OK
Valence;Nicolas Daragon;daragon;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Valence;Paul Christophle;christophle;PS-PCF-Les Écologistes, L'Appel pour Valence 2026;OUI;21;https://reunirvalence.fr/;;;@paulchristophle;recherche web;TWITTER OK
Valence;Jules Boyadjian;boyadjian;Divers gauche, Réunir Valence;NON;0;;;;;;A RECHERCHER
Valence;Stéphane Magnin;magnin;LFI, Gauche Écologiste et Populaire;NON;0;;;;;;A RECHERCHER
Valence;Philippe Dos Reis;reis;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Valence;Adèle Kopff;kopff;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Versailles;François de Mazières;mazieres;DVD / LR;NON;9;https://demazieres2026.fr/site/;;;@FdeMazieres;recherche web;TWITTER OK
Versailles;Olivier de La Faire;faire;UDR / soutenu par le RN, Union des droites pour Versailles;NON;0;;;;@odelafr;recherche web;TWITTER OK
Versailles;Sabine Clément;clement;Reconquête, À la Reconquête de Versailles;NON;0;;;;@ClmentSabine;recherche web;TWITTER OK
Versailles;Carole Filleur;filleur;Sans étiquette, Ensemble Vivons Versailles 2026;NON;0;;;;;;A RECHERCHER
Versailles;Geoffrey Landrain;landrain;DVG;NON;0;;;;;;A RECHERCHER
Villejuif;Pierre Garzon;garzon;PCF-PS-Écologistes-Génération.s, Ensemble pour Villejuif;NON;0;;;;@PierreGarzon;recherche web;TWITTER OK
Villejuif;Franck Conquet;conquet;DVD;NON;0;;;;;;A RECHERCHER
Villejuif;Christel Esclangon;esclangon;Sans étiquette, Notre parti c'est Villejuif;NON;4;https://notrepartivillejuif.fr/;notrepartivillejuif@gmail.com;campagne;;notrepartivillejuif.fr;EMAIL OK
Villeneuve-d'Ascq;Gérard Caudron;caudron;Divers gauche (Rassemblement Citoyen/Génération.s/MRC);NON;0;;;;@CaudronGerard;recherche web;TWITTER OK
Villeneuve-d'Ascq;Ugo Bernalicis;bernalicis;LFI (La France Insoumise);NON;0;;ugo.bernalicis@assemblee-nationale.fr;institutionnel;@Ugobernalicis;recherche web;EMAIL OK
Villeneuve-d'Ascq;Victor Burette;burette;PS, Vivre Villeneuve d'Ascq;NON;0;;;;@victorburette;recherche web;TWITTER OK
Villeneuve-d'Ascq;Pauline Ségard;segard;Les Écologistes, Printemps villeneuvois;NON;0;;;;;;A RECHERCHER
Villeneuve-d'Ascq;Sylvain Estager;estager;Divers gauche, Ensemble pour Villeneuve d'Ascq;NON;0;;;;;;A RECHERCHER
Villeurbanne;Cédric Van Styvendael;styvendael;PS (soutenu par Écologistes/PCF/Place publique);NON;6;;;;;;A RECHERCHER
Villeurbanne;Jean-Paul Bret;bret;Divers gauche (ex-maire, liste autonome);NON;3;;;;;;A RECHERCHER
Villeurbanne;Mathieu Garabédian;garabedian;LFI (La France Insoumise);NON;6;;;;;;A RECHERCHER
Villeurbanne;Sophie Cruz;cruz;Droite et centre (union LR-centre);NON;3;;;;;;A RECHERCHER
Villeurbanne;Marc Fraysse;fraysse;Sans étiquette (ex-LR);NON;3;;;;;;A RECHERCHER
Villeurbanne;Gérald Canon;canon;RN (Rassemblement National);NON;2;;;;;;A RECHERCHER
Villeurbanne;Nadia Bouhami;bouhami;Lutte Ouvrière;NON;3;;;;;;A RECHERCHER
Vitry-sur-Seine;Pierre Bell-Lloch;bell-lloch;PCF;NON;13;https://pbl2026.fr/programme.html;pblk2026@gmail.com;campagne;;pbl2026.fr;EMAIL OK
Vitry-sur-Seine;Hocine Tmimi;tmimi;LFI, Vitry Unie et Populaire;OUI;42;https://vitry2026.fr/;;;;;SITE A VERIFIER
Vitry-sur-Seine;Alain Afflatet;afflatet;DVD (droite et centre unis), Vitry À Venir;OUI;39;https://vitryavenir.fr/;;;;;SITE A VERIFIER
Vénissieux;Michèle Picard;picard;PCF;NON;0;;;;;;A RECHERCHER
Vénissieux;Idir Boumertit;boumertit;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Vénissieux;Pascal Dureau;dureau;Divers droite-centre, Vénissieux Plurielle;NON;0;;;;;;A RECHERCHER
Vénissieux;Quentin Taieb;taieb;RN / UDR, Retrouver Vénissieux;NON;0;;;;;;A RECHERCHER
Vénissieux;Barbara Petit;petit;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Vénissieux;Farid Omeir;omeir;UDMF (Union des démocrates musulmans français);NON;0;;;;;;A RECHERCHER
Évry-Courcouronnes;Stéphane Beaudet;beaudet;Sans étiquette (ex-LR), #ONESTENSEMBLE;NON;0;;;;;;A RECHERCHER
Évry-Courcouronnes;Farida Amrani;amrani;LFI (La France Insoumise);NON;10;https://faridaamrani2026.fr/;;;;;SITE A VERIFIER
Évry-Courcouronnes;Julien Monier;monier;Les Écologistes, Agissons Citoyens;NON;0;https://julienmonier2026.fr/;;;;;SITE A VERIFIER
